"variable","conditionage","Matched","Unmatched unique census","Unmatched unique socsec","Unmatched unique all","Unmatched non-unique census","Unmatched non-unique socsec","Unmatched non-unique all"
"median age",NA,24,35,25,35,29,24,29
"IQR age",NA,19,35,18,35,32,16,32
"median AAD",NA,77,NA,79,NA,NA,78,NA
"IQR AAD",NA,15,NA,16,NA,NA,15,NA
"# obs",0,3265,17490,368392,49687470,2397,147710,24805933
"median income",0,0,0,NA,NA,0,NA,NA
"prop inc missing",0,0.956,0.958,NA,NA,0.954,NA,NA
"prop inc zero",0,0.038,0.033,NA,NA,0.038,NA,NA
"prop white",0,0.961,0.969,NA,NA,0.95,NA,NA
"prop black",0,0.035,0.025,NA,NA,0.047,NA,NA
"prop other",0,0,0.001,NA,NA,0.001,NA,NA
"prop race missing",0,0.004,0.005,NA,NA,0.001,NA,NA
"prop high school",0,0.002,0.004,NA,NA,0.003,NA,NA
"prop college",0,0,0,NA,NA,0,NA,NA
"median educ",0,0,0,NA,NA,0,NA,NA
"prop educ missing",0,0.31,0.315,NA,NA,0.334,NA,NA
"prop own",0,0.004,0.005,NA,NA,0.003,NA,NA
"prop rent",0,0.005,0.006,NA,NA,0.005,NA,NA
"prop own/rent missing",0,0.989,0.987,NA,NA,0.988,NA,NA
"prop rural",0,0,0,NA,NA,0,NA,NA
"prop urban",0,0,0,NA,NA,0,NA,NA
"prop rural/urban missing",0,1,1,NA,NA,1,NA,NA
"prop ssn yes",0,0.001,0.002,NA,NA,0.001,NA,NA
"prop ssn no",0,0.019,0.016,NA,NA,0.017,NA,NA
"prop ssn info missing",0,0.98,0.982,NA,NA,0.982,NA,NA
"prop head",0,0.004,0.005,NA,NA,0.004,NA,NA
"prop not head",0,0.992,0.988,NA,NA,0.987,NA,NA
"prop hh_head missing",0,0.004,0.007,NA,NA,0.008,NA,NA
"# obs",5,38984,184031,455996,49687470,80298,228290,24805933
"median income",5,0,0,NA,NA,0,NA,NA
"prop inc missing",5,0.964,0.959,NA,NA,0.961,NA,NA
"prop inc zero",5,0.033,0.036,NA,NA,0.035,NA,NA
"prop white",5,0.966,0.968,NA,NA,0.95,NA,NA
"prop black",5,0.029,0.027,NA,NA,0.046,NA,NA
"prop other",5,0.001,0.001,NA,NA,0.001,NA,NA
"prop race missing",5,0.004,0.004,NA,NA,0.003,NA,NA
"prop high school",5,0.001,0.002,NA,NA,0.002,NA,NA
"prop college",5,0,0,NA,NA,0,NA,NA
"median educ",5,0,0,NA,NA,0,NA,NA
"prop educ missing",5,0.294,0.301,NA,NA,0.304,NA,NA
"prop own",5,0.001,0.003,NA,NA,0.002,NA,NA
"prop rent",5,0.002,0.003,NA,NA,0.003,NA,NA
"prop own/rent missing",5,0.996,0.994,NA,NA,0.995,NA,NA
"prop rural",5,0.107,0.105,NA,NA,0.104,NA,NA
"prop urban",5,0.751,0.742,NA,NA,0.741,NA,NA
"prop rural/urban missing",5,0.142,0.153,NA,NA,0.155,NA,NA
"prop ssn yes",5,0.002,0.001,NA,NA,0.001,NA,NA
"prop ssn no",5,0.017,0.018,NA,NA,0.018,NA,NA
