"variable","conditionage","Matched","Unmatched unique census","Unmatched unique socsec","Unmatched unique all","Unmatched non-unique census","Unmatched non-unique socsec","Unmatched non-unique all"
"median age",NA,23,35,25,35,30,24,30
"IQR age",NA,18,34,18,34,31,16,31
"median AAD",NA,77,NA,79,NA,NA,78,NA
"IQR AAD",NA,15,NA,16,NA,NA,15,NA
"# obs",0,2271,12348,369456,49226429,1311,147710,24200405
"median income",0,0,0,NA,NA,0,NA,NA
"prop inc missing",0,0.962,0.946,NA,NA,0.96,NA,NA
"prop inc zero",0,0.033,0.041,NA,NA,0.033,NA,NA
"prop white",0,0.959,0.967,NA,NA,0.928,NA,NA
"prop black",0,0.038,0.031,NA,NA,0.069,NA,NA
"prop other",0,0,0.001,NA,NA,0.003,NA,NA
"prop race missing",0,0.003,0.001,NA,NA,0.001,NA,NA
"prop high school",0,0.003,0.005,NA,NA,0.004,NA,NA
"prop college",0,0,0.001,NA,NA,0.001,NA,NA
"median educ",0,0,0,NA,NA,0,NA,NA
"prop educ missing",0,0.318,0.338,NA,NA,0.37,NA,NA
"prop own",0,0.001,0.004,NA,NA,0.002,NA,NA
"prop rent",0,0.006,0.009,NA,NA,0.008,NA,NA
"prop own/rent missing",0,0.989,0.983,NA,NA,0.983,NA,NA
"prop rural",0,0,0,NA,NA,0,NA,NA
"prop urban",0,0,0,NA,NA,0,NA,NA
"prop rural/urban missing",0,1,1,NA,NA,1,NA,NA
"prop ssn yes",0,0,0.001,NA,NA,0.002,NA,NA
"prop ssn no",0,0.015,0.016,NA,NA,0.021,NA,NA
"prop ssn info missing",0,0.985,0.983,NA,NA,0.978,NA,NA
"prop head",0,0.001,0.005,NA,NA,0.005,NA,NA
"prop not head",0,0.993,0.988,NA,NA,0.988,NA,NA
"prop hh_head missing",0,0.005,0.007,NA,NA,0.008,NA,NA
"# obs",5,30489,151876,466955,49226429,61437,228290,24200405
"median income",5,0,0,NA,NA,0,NA,NA
"prop inc missing",5,0.955,0.947,NA,NA,0.95,NA,NA
"prop inc zero",5,0.043,0.048,NA,NA,0.046,NA,NA
"prop white",5,0.961,0.964,NA,NA,0.943,NA,NA
"prop black",5,0.037,0.033,NA,NA,0.054,NA,NA
"prop other",5,0.001,0.001,NA,NA,0.002,NA,NA
"prop race missing",5,0.001,0.001,NA,NA,0.001,NA,NA
"prop high school",5,0.002,0.003,NA,NA,0.003,NA,NA
"prop college",5,0,0,NA,NA,0,NA,NA
"median educ",5,0,0,NA,NA,0,NA,NA
"prop educ missing",5,0.272,0.274,NA,NA,0.305,NA,NA
"prop own",5,0.001,0.002,NA,NA,0.002,NA,NA
"prop rent",5,0.004,0.004,NA,NA,0.004,NA,NA
"prop own/rent missing",5,0.995,0.993,NA,NA,0.994,NA,NA
"prop rural",5,0.037,0.03,NA,NA,0.032,NA,NA
"prop urban",5,0.841,0.842,NA,NA,0.835,NA,NA
"prop rural/urban missing",5,0.122,0.128,NA,NA,0.133,NA,NA
"prop ssn yes",5,0.002,0.002,NA,NA,0.002,NA,NA
"prop ssn no",5,0.017,0.018,NA,NA,0.018,NA,NA
"prop ssn info missing",5,0.982,0.98,NA,NA,0.98,NA,NA
"prop head",5,0.001,0.002,NA,NA,0.001,NA,NA
"prop not head",5,0.996,0.994,NA,NA,0.994,NA,NA
"prop hh_head missing",5,0.003,0.004,NA,NA,0.004,NA,NA
"# obs",10,43369,165843,657458,49226429,71423,356414,24200405
"median income",10,0,0,NA,NA,0,NA,NA
"prop inc missing",10,0.942,0.931,NA,NA,0.937,NA,NA
"prop inc zero",10,0.056,0.064,NA,NA,0.059,NA,NA
"prop white",10,0.967,0.965,NA,NA,0.945,NA,NA
"prop black",10,0.031,0.032,NA,NA,0.053,NA,NA
"prop other",10,0.001,0.001,NA,NA,0.002,NA,NA
"prop race missing",10,0.001,0.002,NA,NA,0.001,NA,NA
"prop high school",10,0.006,0.008,NA,NA,0.006,NA,NA
"prop college",10,0.002,0.003,NA,NA,0.002,NA,NA
"median educ",10,4,4,NA,NA,4,NA,NA
"prop educ missing",10,0.019,0.023,NA,NA,0.023,NA,NA
"prop own",10,0.002,0.002,NA,NA,0.002,NA,NA
"prop rent",10,0.004,0.004,NA,NA,0.004,NA,NA
"prop own/rent missing",10,0.994,0.993,NA,NA,0.994,NA,NA
"prop rural",10,0.033,0.026,NA,NA,0.027,NA,NA
"prop urban",10,0.926,0.929,NA,NA,0.928,NA,NA
"prop rural/urban missing",10,0.041,0.045,NA,NA,0.045,NA,NA
"prop ssn yes",10,0.002,0.002,NA,NA,0.001,NA,NA
"prop ssn no",10,0.02,0.019,NA,NA,0.02,NA,NA
"prop ssn info missing",10,0.978,0.98,NA,NA,0.979,NA,NA
"prop head",10,0,0.002,NA,NA,0.001,NA,NA
"prop not head",10,0.995,0.993,NA,NA,0.994,NA,NA
"prop hh_head missing",10,0.005,0.005,NA,NA,0.005,NA,NA
"# obs",15,58917,165365,908495,49226429,76344,540049,24200405
"median income",15,0,0,NA,NA,0,NA,NA
"prop inc missing",15,0.303,0.324,NA,NA,0.322,NA,NA
"prop inc zero",15,0.678,0.659,NA,NA,0.658,NA,NA
"prop white",15,0.975,0.968,NA,NA,0.948,NA,NA
"prop black",15,0.023,0.029,NA,NA,0.05,NA,NA
"prop other",15,0.001,0.001,NA,NA,0.002,NA,NA
"prop race missing",15,0.001,0.002,NA,NA,0.001,NA,NA
"prop high school",15,0.011,0.015,NA,NA,0.012,NA,NA
"prop college",15,0,0,NA,NA,0,NA,NA
"median educ",15,9,9,NA,NA,9,NA,NA
"prop educ missing",15,0.019,0.022,NA,NA,0.024,NA,NA
"prop own",15,0.002,0.002,NA,NA,0.002,NA,NA
"prop rent",15,0.003,0.004,NA,NA,0.003,NA,NA
"prop own/rent missing",15,0.994,0.993,NA,NA,0.994,NA,NA
"prop rural",15,0.027,0.022,NA,NA,0.024,NA,NA
"prop urban",15,0.941,0.941,NA,NA,0.942,NA,NA
"prop rural/urban missing",15,0.032,0.037,NA,NA,0.034,NA,NA
"prop ssn yes",15,0.002,0.002,NA,NA,0.002,NA,NA
"prop ssn no",15,0.032,0.031,NA,NA,0.031,NA,NA
"prop ssn info missing",15,0.966,0.967,NA,NA,0.967,NA,NA
"prop head",15,0.001,0.002,NA,NA,0.001,NA,NA
"prop not head",15,0.995,0.992,NA,NA,0.992,NA,NA
"prop hh_head missing",15,0.004,0.007,NA,NA,0.007,NA,NA
"# obs",20,61893,159752,1055143,49226429,70767,632150,24200405
"median income",20,288,275,NA,NA,270,NA,NA
"prop inc missing",20,0.099,0.115,NA,NA,0.119,NA,NA
"prop inc zero",20,0.264,0.275,NA,NA,0.268,NA,NA
"prop white",20,0.979,0.972,NA,NA,0.952,NA,NA
"prop black",20,0.019,0.025,NA,NA,0.045,NA,NA
"prop other",20,0.001,0.001,NA,NA,0.001,NA,NA
"prop race missing",20,0.001,0.002,NA,NA,0.001,NA,NA
"prop high school",20,0.478,0.433,NA,NA,0.495,NA,NA
"prop college",20,0.01,0.011,NA,NA,0.01,NA,NA
"median educ",20,11,11,NA,NA,12,NA,NA
"prop educ missing",20,0.017,0.023,NA,NA,0.022,NA,NA
"prop own",20,0.005,0.006,NA,NA,0.006,NA,NA
"prop rent",20,0.031,0.035,NA,NA,0.036,NA,NA
