"variable","conditionage","Matched","Unmatched unique census","Unmatched unique socsec","Unmatched unique all","Unmatched non-unique census","Unmatched non-unique socsec","Unmatched non-unique all"
"median age",NA,29,33,28,33,30,27,30
"IQR age",NA,23,34,22,34,31,19,31
"median AAD",NA,76,NA,78,NA,NA,77,NA
"IQR AAD",NA,16,NA,16,NA,NA,16,NA
"# obs",NA,1193210,4611100,48568066,53179166,1232332,26173780,27406112
"median income",20,250,240,NA,NA,250,NA,NA
"prop inc missing",20,0.071,0.084,NA,NA,0.085,NA,NA
"prop inc zero",20,0.269,0.278,NA,NA,0.264,NA,NA
"prop white",20,0.97,0.942,NA,NA,0.973,NA,NA
"prop black",20,0.008,0.01,NA,NA,0.013,NA,NA
"prop other",20,0.001,0.002,NA,NA,0.001,NA,NA
"prop race missing",20,0.022,0.046,NA,NA,0.012,NA,NA
"prop own",20,0.013,0.018,NA,NA,0.016,NA,NA
"prop rent",20,0.075,0.078,NA,NA,0.079,NA,NA
"prop own/rent missing",20,0.91,0.903,NA,NA,0.903,NA,NA
"prop rural",20,0.121,0.115,NA,NA,0.116,NA,NA
"prop urban",20,0.812,0.803,NA,NA,0.816,NA,NA
"prop rural/urban missing",20,0.067,0.082,NA,NA,0.068,NA,NA
"prop ssn yes",20,0.032,0.028,NA,NA,0.03,NA,NA
"prop ssn no",20,0.014,0.015,NA,NA,0.015,NA,NA
"prop ssn info missing",20,0.954,0.957,NA,NA,0.955,NA,NA
"median income",25,825,764,NA,NA,800,NA,NA
"prop inc missing",25,0.039,0.054,NA,NA,0.049,NA,NA
"prop inc zero",25,0.128,0.134,NA,NA,0.121,NA,NA
"prop white",25,0.975,0.945,NA,NA,0.966,NA,NA
"prop black",25,0.009,0.013,NA,NA,0.02,NA,NA
"prop other",25,0.001,0.002,NA,NA,0.001,NA,NA
"prop race missing",25,0.016,0.039,NA,NA,0.013,NA,NA
"prop own",25,0.123,0.107,NA,NA,0.109,NA,NA
"prop rent",25,0.405,0.367,NA,NA,0.382,NA,NA
"prop own/rent missing",25,0.471,0.525,NA,NA,0.507,NA,NA
"prop rural",25,0.133,0.124,NA,NA,0.121,NA,NA
"prop urban",25,0.82,0.815,NA,NA,0.828,NA,NA
"prop rural/urban missing",25,0.047,0.061,NA,NA,0.051,NA,NA
"prop ssn yes",25,0.037,0.035,NA,NA,0.037,NA,NA
"prop ssn no",25,0.009,0.01,NA,NA,0.009,NA,NA
"prop ssn info missing",25,0.954,0.955,NA,NA,0.954,NA,NA
"median income",30,1040,900,NA,NA,1000,NA,NA
"prop inc missing",30,0.039,0.053,NA,NA,0.05,NA,NA
"prop inc zero",30,0.14,0.143,NA,NA,0.136,NA,NA
"prop white",30,0.975,0.931,NA,NA,0.958,NA,NA
"prop black",30,0.009,0.015,NA,NA,0.024,NA,NA
"prop other",30,0.001,0.002,NA,NA,0.001,NA,NA
"prop race missing",30,0.015,0.053,NA,NA,0.016,NA,NA
"prop own",30,0.255,0.208,NA,NA,0.221,NA,NA
"prop rent",30,0.49,0.448,NA,NA,0.465,NA,NA
"prop own/rent missing",30,0.255,0.342,NA,NA,0.313,NA,NA
"prop rural",30,0.115,0.114,NA,NA,0.107,NA,NA
"prop urban",30,0.841,0.83,NA,NA,0.842,NA,NA
"prop rural/urban missing",30,0.044,0.056,NA,NA,0.051,NA,NA
"prop ssn yes",30,0.037,0.033,NA,NA,0.037,NA,NA
"prop ssn no",30,0.01,0.012,NA,NA,0.009,NA,NA
"prop ssn info missing",30,0.952,0.955,NA,NA,0.954,NA,NA
"median income",35,1160,945,NA,NA,1025,NA,NA
"prop inc missing",35,0.045,0.056,NA,NA,0.058,NA,NA
"prop inc zero",35,0.167,0.172,NA,NA,0.154,NA,NA
"prop white",35,0.977,0.934,NA,NA,0.963,NA,NA
"prop black",35,0.008,0.014,NA,NA,0.024,NA,NA
"prop other",35,0.001,0.002,NA,NA,0.001,NA,NA
"prop race missing",35,0.014,0.05,NA,NA,0.012,NA,NA
"prop own",35,0.353,0.285,NA,NA,0.297,NA,NA
"prop rent",35,0.458,0.444,NA,NA,0.454,NA,NA
"prop own/rent missing",35,0.188,0.27,NA,NA,0.247,NA,NA
"prop rural",35,0.102,0.097,NA,NA,0.098,NA,NA
"prop urban",35,0.856,0.848,NA,NA,0.854,NA,NA
"prop rural/urban missing",35,0.042,0.055,NA,NA,0.048,NA,NA
"prop ssn yes",35,0.035,0.032,NA,NA,0.037,NA,NA
"prop ssn no",35,0.012,0.014,NA,NA,0.011,NA,NA
"prop ssn info missing",35,0.953,0.954,NA,NA,0.952,NA,NA
"median income",40,1080,840,NA,NA,950,NA,NA
"prop inc missing",40,0.056,0.064,NA,NA,0.065,NA,NA
"prop inc zero",40,0.213,0.213,NA,NA,0.197,NA,NA
"prop white",40,0.975,0.927,NA,NA,0.957,NA,NA
"prop black",40,0.011,0.017,NA,NA,0.026,NA,NA
"prop other",40,0.001,0.002,NA,NA,0.001,NA,NA
"prop race missing",40,0.014,0.055,NA,NA,0.016,NA,NA
"prop own",40,0.425,0.348,NA,NA,0.36,NA,NA
"prop rent",40,0.409,0.409,NA,NA,0.408,NA,NA
"prop own/rent missing",40,0.165,0.242,NA,NA,0.23,NA,NA
"prop rural",40,0.086,0.087,NA,NA,0.082,NA,NA
"prop urban",40,0.87,0.854,NA,NA,0.866,NA,NA
"prop rural/urban missing",40,0.044,0.058,NA,NA,0.052,NA,NA
"prop ssn yes",40,0.033,0.03,NA,NA,0.033,NA,NA
